index,Sku,Catalog,Category,Weight,TP,MRP Old,Final MRP Old,Ajio MRP,Amazon MRP,Amazon FBA MRP,Flipkart MRP,Limeroad MRP,Myntra MRP,Paytm MRP,Snapdeal MRP
1054,OS1119_2XL,Surmaya,Kurta Set,0.4,1150,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895
1055,OS1119_3XL,Surmaya,Kurta Set,0.4,1150,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895
1056,OS287_S,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1057,OS287_M,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1058,OS287_L,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1059,OS287_XL,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1060,OS287_2XL,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1061,OS287_3XL,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1062,OS287KR_S,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1063,OS287KR_M,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1064,OS287KR_L,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1065,OS287KR_XL,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1066,OS287KR_2XL,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1067,OS287KR_3XL,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1068,OS278_S,Mix,Kurta Set,0.4,650,3295,3295,3295,3295,3295,3295,3295,2995,3295,3295
1069,OS278_M,Mix,Kurta Set,0.4,650,3295,3295,3295,3295,3295,3295,3295,2995,3295,3295
1070,OS278_L,Mix,Kurta Set,0.4,650,3295,3295,3295,3295,3295,3295,3295,2995,3295,3295
1071,OS278_XL,Mix,Kurta Set,0.4,650,3295,3295,3295,3295,3295,3295,3295,2995,3295,3295
1072,OS278_2XL,Mix,Kurta Set,0.4,650,3295,3295,3295,3295,3295,3295,3295,2995,3295,3295
1073,OS278_3XL,Mix,Kurta Set,0.4,650,3295,3295,3295,3295,3295,3295,3295,2995,3295,3295
1074,OS278KR_S,Mix,Kurta,0.3,460,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397
1075,OS278KR_M,Mix,Kurta,0.3,460,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397
1076,OS278KR_L,Mix,Kurta,0.3,460,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397
1077,OS278KR_XL,Mix,Kurta,0.3,460,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397
1078,OS278KR_2XL,Mix,Kurta,0.3,460,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397
1079,OS278KR_3XL,Mix,Kurta,0.3,460,2397,2397,2397,2397,2397,2397,2397,2397,2397,2397
1080,OS277_S,Mix,Kurta Set,0.4,675,3397,3397,3397,3397,3397,3397,3397,3095,3397,3397
1081,OS277_M,Mix,Kurta Set,0.4,675,3397,3397,3397,3397,3397,3397,3397,3095,3397,3397
1082,OS277_L,Mix,Kurta Set,0.4,675,3397,3397,3397,3397,3397,3397,3397,3095,3397,3397
1083,OS277_XL,Mix,Kurta Set,0.4,675,3397,3397,3397,3397,3397,3397,3397,3095,3397,3397
1084,OS277_2XL,Mix,Kurta Set,0.4,675,3397,3397,3397,3397,3397,3397,3397,3095,3397,3397
1085,OS277_3XL,Mix,Kurta Set,0.4,675,3397,3397,3397,3397,3397,3397,3397,3095,3397,3397
1086,OS277KR_S,Mix,Kurta,0.3,440,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
1087,OS277KR_M,Mix,Kurta,0.3,440,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
